name,device,owner,holder
Pokemon TCG (Speicherfunktion kaputt),Gameboy,Pascal/Jonas,
Pokemon Gold,Gameboy,Pascal/Jonas,
Pokemon Blau,Gameboy,Pascal/Jonas,
Pokemon Gelb,Gameboy,Pascal/Jonas,
Pokemon Kristall,Gameboy,Pascal/Jonas,
m&m Madness,Gameboy,Pascal,
Tetris,Gameboy,Pascal/Jonas,
Kirbys Dream Land,Gameboy,Pascal/Jonas,
Harvest Moon Friends of Mineral Town,Gameboy Advance,Pascal,
Pokemon Rubin,Gameboy Advance,Pascal,
Pokemon mystery dungeon rettungsteam rot,Gameboy Advance,Pascal,
Pokemon Feuerrot,Gameboy Advance,Dennis,
Super Mario Bros 3,Gameboy Advance,Pascal/Jonas,
Yugioh GX duel academy,Gameboy Advance,Pascal/Jonas,
Pokemon Saphir,Gameboy Advance,Marleen,
Yugioh Tag des duellanten,Gameboy Advance,Pascal/Jonas,
Yugioh dungeon dice monsters,Gameboy Advance,Pascal/Jonas,
Final Fantasy Tactics Advance A2,Nintendo DS,Pascal,
High school musical ,Nintendo DS,Julia,
Mario Kart DS ,Nintendo DS,Julia,
Zoo Tycoon ,Nintendo DS,Julia,
The Legend of Zelda: Majoras Mask,Nintendo 3DS,Pascal,
Pokemon Perl,Nintendo DS,Pascal,
Lock's Quest,Nintendo DS,Jonas,
